Unnamed: 0,Enter your name,Enter your email id,What  Age Group do you fall in,Kindly mention your gender,Do you currently own a two-wheeler?,"According to your age group, which bike type is most suitable?  ",Why do you think this type of bike suits your age group best? ,Best bike type for Below 20 years (students/young riders):,Best bike type for 21–30 years (working professionals/young adults):,Best bike type for 31–40 years (family-oriented riders):,  Best bike type for 41–50 years (mid-age riders):,Best bike type for 51 years & above (senior riders):,"When choosing a bike, which feature is most important to you?  ",What price range is affordable for your age group?  ,Do you think electric bikes are a good option for your age group?  ,Timestamp,"According to your age group, which bike type is most suitable?","When choosing a bike, which feature is most important to you?",What price range is affordable for your age group?,Do you think electric bikes are a good option for your age group?
Unknown,Mamooty Gala,ladrania@dar.com,51 Years and above,Male,No,"Electric Bike (eco-friendly, modern)",Comfort & Ease of riding,Higher power Bikes(200cc and above),Cruiser (comfortable for city + touring),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,28-10-2025 00:41,Sports Bike (performance-oriented),Mileage / Fuel efficiency,"Below ₹70,000",No – Too costly compared to fuel bikes
Unknown,Sana Karpe,jchar@yahoo.com,41-50 Years,Female,No,"Scooter (gearless, lightweight)",Comfort & Ease of riding,Electric bike/scooter,Electric Bike,"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,28-05-2025 06:46,"Electric Bike (eco-friendly, modern)",Resale value,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Oorja Kulkarni,sahildasgupta@hotmail.com,41-50 Years,Male,Yes – Commuter (100–150cc),"Commuter (100–150cc, mileage-focused)",Safety features,Higher power Bikes(200cc and above),Cruiser (comfortable for city + touring),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,09-01-2025 20:48,"Scooter (gearless, lightweight)",Stylish design / Looks,"₹1,00,000–₹1,50,000",Not sure
Unknown,Rasha Khare,hanshvora@ahluwalia-ganesh.net,51 Years and above,Prefer not to say,No,"Electric Bike (eco-friendly, modern)",Comfort & Ease of riding,Electric bike/scooter,Cruiser (comfortable for city + touring),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,25-03-2025 18:49,Sports Bike (performance-oriented),Mileage / Fuel efficiency,"₹70,000–₹1,00,000",No – Too costly compared to fuel bikes
Unknown,Hiran Setty,daminivora@yahoo.com,51 Years and above,Male,Yes – Scooter (gearless),"Commuter (100–150cc, mileage-focused)",Stylish design / Looks,Electric bike/scooter,Cruiser (comfortable for city + touring),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,24-02-2025 05:05,Cruiser (comfortable for long rides),Safety features,"Above ₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Indranil Swaminathan,raghavthakur@goyal.com,41-50 Years,Female,No,"Scooter (gearless, lightweight)",Stylish design / Looks,"Commuter bike (100–125cc, high mileage)",Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,11-04-2025 08:38,"Electric Bike (eco-friendly, modern)",Performance & Speed,"Below ₹70,000",Yes – Affordable and eco-friendly
Unknown,Ojas Manne,diya26@sood.net,21-30 Years,Male,Yes – Sports Bike,"Scooter (gearless, lightweight)",Comfort & Ease of riding,"Scooter (lightweight, gearless)",Cruiser (comfortable for city + touring),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,04-06-2025 02:26,Cruiser (comfortable for long rides),Comfort & Ease of riding,"Above ₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Priyansh Mammen,kismat25@ramaswamy.biz,41-50 Years,Prefer not to say,Yes – Electric Bike,Sports Bike (performance-oriented),Eco-friendliness (Electric option),Higher power Bikes(200cc and above),Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,30-06-2025 23:24,Cruiser (comfortable for long rides),Performance & Speed,"₹70,000–₹1,00,000",Not sure
Unknown,Arhaan Upadhyay,gargmiraya@hotmail.com,41-50 Years,Prefer not to say,Yes – Commuter (100–150cc),Cruiser (comfortable for long rides),Performance & Speed,Higher power Bikes(200cc and above),"Commuter (150–200cc, mileage + performance balance)","Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,11-02-2025 03:13,"Scooter (gearless, lightweight)",Resale value,"₹1,00,000–₹1,50,000",No – Lack of charging/service support
Unknown,Eshani Mann,arnavdara@yahoo.com,51 Years and above,Prefer not to say,Yes – Cruiser,Sports Bike (performance-oriented),Mileage / Fuel efficiency,Electric bike/scooter,Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,04-07-2025 12:05,"Scooter (gearless, lightweight)",Mileage / Fuel efficiency,"Below ₹70,000",Not sure
Unknown,Ritvik Karpe,elakshidube@gmail.com,21-30 Years,Male,Yes – Scooter (gearless),"Electric Bike (eco-friendly, modern)",Comfort & Ease of riding,"Scooter (lightweight, gearless)","Commuter (150–200cc, mileage + performance balance)","Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,10-07-2025 10:44,Cruiser (comfortable for long rides),Safety features,"₹70,000–₹1,00,000","Yes – Good for city rides, but not long tours"
Unknown,Zoya Swamy,tejas37@yahoo.com,41-50 Years,Female,Yes – Cruiser,"Scooter (gearless, lightweight)",Performance & Speed,Electric bike/scooter,"Commuter (150–200cc, mileage + performance balance)","Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,30-04-2025 17:25,Cruiser (comfortable for long rides),Performance & Speed,"Above ₹1,50,000","Yes – Good for city rides, but not long tours"
Unknown,Saksham Viswanathan,kiara98@gmail.com,41-50 Years,Female,Yes – Commuter (100–150cc),"Scooter (gearless, lightweight)",Comfort & Ease of riding,Entry-level Sports (150cc),"Commuter (150–200cc, mileage + performance balance)","Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,09-09-2025 11:43,"Electric Bike (eco-friendly, modern)",Low maintenance cost,"Below ₹70,000",Not sure
Unknown,Ishita Lall,vaibhavdube@khanna.com,21-30 Years,Prefer not to say,No,Sports Bike (performance-oriented),Comfort & Ease of riding,Entry-level Sports (150cc),"Commuter (150–200cc, mileage + performance balance)","Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,13-03-2025 18:35,"Scooter (gearless, lightweight)",Mileage / Fuel efficiency,"₹1,00,000–₹1,50,000","Yes – Good for city rides, but not long tours"
Unknown,Yashvi Kari,sumerganguly@yahoo.com,Below 20 years,Female,Yes – Scooter (gearless),"Scooter (gearless, lightweight)",Mileage / Fuel efficiency,Higher power Bikes(200cc and above),Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,08-10-2025 21:11,Cruiser (comfortable for long rides),Comfort & Ease of riding,"₹70,000–₹1,00,000",Yes – Affordable and eco-friendly
Unknown,Shray Ganguly,arnav25@johal-mani.org,41-50 Years,Male,No,"Scooter (gearless, lightweight)",Performance & Speed,Entry-level Sports (150cc),Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,14-08-2025 08:24,Sports Bike (performance-oriented),Performance & Speed,"Below ₹70,000",No – Too costly compared to fuel bikes
Unknown,Rania Upadhyay,saksham09@subramaniam-comar.net,Below 20 years,Female,Yes – Sports Bike,Sports Bike (performance-oriented),Comfort & Ease of riding,"Scooter (lightweight, gearless)",Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,04-10-2025 02:06,Cruiser (comfortable for long rides),Comfort & Ease of riding,"₹70,000–₹1,00,000",No – Lack of charging/service support
Unknown,Saanvi Choudhry,vseshadri@acharya-setty.biz,51 Years and above,Male,Yes – Sports Bike,"Scooter (gearless, lightweight)",Mileage / Fuel efficiency,Higher power Bikes(200cc and above),Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,16-01-2025 03:39,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"₹70,000–₹1,00,000",No – Too costly compared to fuel bikes
Unknown,Rhea Bhalla,priyansh73@hotmail.com,31-40 Years,Prefer not to say,Yes – Sports Bike,"Scooter (gearless, lightweight)",Comfort & Ease of riding,"Commuter bike (100–125cc, high mileage)",Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,05-11-2025 04:32,"Scooter (gearless, lightweight)",Resale value,"Above ₹1,50,000",Not sure
Unknown,Ayesha Agate,veer80@sinha-saini.com,51 Years and above,Female,Yes – Cruiser,Sports Bike (performance-oriented),Comfort & Ease of riding,"Scooter (lightweight, gearless)",Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,14-04-2025 01:36,Sports Bike (performance-oriented),Stylish design / Looks,"Above ₹1,50,000",No – Lack of charging/service support
Unknown,Aaina Behl,zdevi@gmail.com,41-50 Years,Male,Yes – Commuter (100–150cc),"Scooter (gearless, lightweight)",Eco-friendliness (Electric option),"Scooter (lightweight, gearless)",Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,22-08-2025 10:32,Sports Bike (performance-oriented),Eco-friendliness (Electric option),"Below ₹70,000",Not sure
Unknown,Dhanush Tiwari,karpeemir@hotmail.com,Below 20 years,Male,Yes – Cruiser,"Commuter (100–150cc, mileage-focused)",Mileage / Fuel efficiency,"Commuter bike (100–125cc, high mileage)",Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,16-01-2025 10:11,"Electric Bike (eco-friendly, modern)",Performance & Speed,"Above ₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Sahil Ratta,mahalkaira@andra.com,31-40 Years,Male,Yes – Scooter (gearless),Sports Bike (performance-oriented),Safety features,Entry-level Sports (150cc),Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,06-09-2025 05:19,"Electric Bike (eco-friendly, modern)",Comfort & Ease of riding,"Below ₹70,000",No – Too costly compared to fuel bikes
Unknown,Lagan Kade,raghav88@kamdar.biz,51 Years and above,Male,Yes – Cruiser,"Commuter (100–150cc, mileage-focused)",Mileage / Fuel efficiency,"Commuter bike (100–125cc, high mileage)",Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,04-02-2025 08:57,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"Below ₹70,000",Not sure
Unknown,Akarsh Soni,vdara@verma.info,Below 20 years,Prefer not to say,Yes – Sports Bike,"Electric Bike (eco-friendly, modern)",Mileage / Fuel efficiency,Entry-level Sports (150cc),Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,24-05-2025 07:11,Cruiser (comfortable for long rides),Resale value,"Above ₹1,50,000",No – Too costly compared to fuel bikes
Unknown,Nehmat Manda,yuvraj-09@hotmail.com,31-40 Years,Male,Yes – Cruiser,Sports Bike (performance-oriented),Comfort & Ease of riding,"Scooter (lightweight, gearless)",Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,30-01-2025 19:30,"Scooter (gearless, lightweight)",Stylish design / Looks,"₹70,000–₹1,00,000","Yes – Good for city rides, but not long tours"
Unknown,Purab Bhatti,divyansh97@yahoo.com,31-40 Years,Prefer not to say,Yes – Commuter (100–150cc),"Commuter (100–150cc, mileage-focused)",Performance & Speed,Higher power Bikes(200cc and above),Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,09-04-2025 05:26,Cruiser (comfortable for long rides),Eco-friendliness (Electric option),"Above ₹1,50,000",Not sure
Unknown,Divij Sandal,achoudhry@yahoo.com,Below 20 years,Prefer not to say,No,"Scooter (gearless, lightweight)",Performance & Speed,Entry-level Sports (150cc),Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,14-06-2025 19:20,Sports Bike (performance-oriented),Performance & Speed,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Suhana Kumar,parinaaz52@hotmail.com,41-50 Years,Female,Yes – Electric Bike,Sports Bike (performance-oriented),Comfort & Ease of riding,"Commuter bike (100–125cc, high mileage)",Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,04-08-2025 01:15,"Scooter (gearless, lightweight)",Resale value,"Above ₹1,50,000",No – Too costly compared to fuel bikes
Unknown,Ojas Doctor,madhavmammen@goswami-anne.biz,21-30 Years,Prefer not to say,Yes – Sports Bike,"Scooter (gearless, lightweight)",Safety features,Electric bike/scooter,Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,08-02-2025 00:44,"Scooter (gearless, lightweight)",Safety features,"Below ₹70,000",Yes – Affordable and eco-friendly
Unknown,Vaibhav Chauhan,ldatta@shan-arora.com,21-30 Years,Prefer not to say,Yes – Scooter (gearless),Cruiser (comfortable for long rides),Low maintenance cost,"Commuter bike (100–125cc, high mileage)",Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,29-08-2025 16:33,Sports Bike (performance-oriented),Resale value,"Above ₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Lakshit Sampath,badamieshani@karpe.biz,41-50 Years,Female,Yes – Commuter (100–150cc),Cruiser (comfortable for long rides),Stylish design / Looks,Electric bike/scooter,Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,17-01-2025 05:15,"Commuter (100–150cc, mileage-focused)",Performance & Speed,"Below ₹70,000",No – Too costly compared to fuel bikes
Unknown,Pranay Iyengar,krish60@swamy.org,21-30 Years,Male,Yes – Electric Bike,Cruiser (comfortable for long rides),Eco-friendliness (Electric option),Electric bike/scooter,Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,20-01-2025 04:46,Cruiser (comfortable for long rides),Mileage / Fuel efficiency,"Below ₹70,000",Not sure
Unknown,Mishti Sama,benelakshi@yahoo.com,31-40 Years,Female,Yes – Cruiser,Cruiser (comfortable for long rides),Performance & Speed,Entry-level Sports (150cc),Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,16-01-2025 10:31,Cruiser (comfortable for long rides),Eco-friendliness (Electric option),"₹70,000–₹1,00,000",No – Too costly compared to fuel bikes
Unknown,Suhana Chadha,cde@rajagopalan.biz,51 Years and above,Prefer not to say,Yes – Cruiser,"Scooter (gearless, lightweight)",Stylish design / Looks,"Scooter (lightweight, gearless)",Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,11-01-2025 19:09,Cruiser (comfortable for long rides),Mileage / Fuel efficiency,"₹70,000–₹1,00,000",No – Lack of charging/service support
Unknown,Ehsaan Saraf,quppal@bakshi-bandi.com,21-30 Years,Male,Yes – Commuter (100–150cc),"Scooter (gearless, lightweight)",Stylish design / Looks,"Scooter (lightweight, gearless)",Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,18-08-2025 09:02,"Electric Bike (eco-friendly, modern)",Low maintenance cost,"Above ₹1,50,000",No – Lack of charging/service support
Unknown,Sara Walia,sacharindrans@yahoo.com,51 Years and above,Male,No,"Scooter (gearless, lightweight)",Performance & Speed,Entry-level Sports (150cc),Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,04-08-2025 15:24,"Scooter (gearless, lightweight)",Low maintenance cost,"Above ₹1,50,000",Not sure
Unknown,Kimaya Bail,hansdarshit@anne.com,Below 20 years,Female,Yes – Commuter (100–150cc),"Electric Bike (eco-friendly, modern)",Low maintenance cost,Electric bike/scooter,Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,04-07-2025 22:10,"Electric Bike (eco-friendly, modern)",Mileage / Fuel efficiency,"₹1,00,000–₹1,50,000",Yes – Affordable and eco-friendly
Unknown,Tara Thakkar,mbobal@sem.info,31-40 Years,Prefer not to say,No,"Commuter (100–150cc, mileage-focused)",Eco-friendliness (Electric option),"Scooter (lightweight, gearless)",Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,18-02-2025 17:02,"Electric Bike (eco-friendly, modern)",Low maintenance cost,"Below ₹70,000",Yes – Affordable and eco-friendly
Unknown,Divyansh Dey,tarini23@hotmail.com,41-50 Years,Prefer not to say,Yes – Scooter (gearless),"Electric Bike (eco-friendly, modern)",Safety features,"Scooter (lightweight, gearless)",Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,17-07-2025 09:02,Sports Bike (performance-oriented),Stylish design / Looks,"₹1,00,000–₹1,50,000",No – Lack of charging/service support
Unknown,Krish Ganesh,aaina32@gmail.com,41-50 Years,Prefer not to say,Yes – Scooter (gearless),"Scooter (gearless, lightweight)",Stylish design / Looks,"Scooter (lightweight, gearless)",Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,27-08-2025 01:58,"Scooter (gearless, lightweight)",Performance & Speed,"Below ₹70,000",Yes – Affordable and eco-friendly
Unknown,Kavya Bains,ekari@madan.info,21-30 Years,Male,Yes – Cruiser,"Electric Bike (eco-friendly, modern)",Stylish design / Looks,"Commuter bike (100–125cc, high mileage)",Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,25-10-2025 19:25,"Commuter (100–150cc, mileage-focused)",Resale value,"₹70,000–₹1,00,000",Yes – Affordable and eco-friendly
Unknown,Dishani Sachar,standon@yahoo.com,41-50 Years,Prefer not to say,Yes – Scooter (gearless),"Scooter (gearless, lightweight)",Safety features,"Scooter (lightweight, gearless)",Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,01-06-2025 17:28,Cruiser (comfortable for long rides),Mileage / Fuel efficiency,"Below ₹70,000",No – Too costly compared to fuel bikes
Unknown,Shayak Raman,inaaya-karpe@yahoo.com,51 Years and above,Prefer not to say,Yes – Scooter (gearless),"Electric Bike (eco-friendly, modern)",Mileage / Fuel efficiency,Entry-level Sports (150cc),Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,02-08-2025 13:52,"Commuter (100–150cc, mileage-focused)",Mileage / Fuel efficiency,"₹70,000–₹1,00,000",No – Too costly compared to fuel bikes
Unknown,Vaibhav Khosla,shanaya16@gmail.com,Below 20 years,Female,Yes – Cruiser,"Scooter (gearless, lightweight)",Performance & Speed,Higher power Bikes(200cc and above),Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,03-05-2025 13:27,Sports Bike (performance-oriented),Safety features,"Below ₹70,000",No – Too costly compared to fuel bikes
Unknown,Lakshay Biswas,yakshitchakraborty@hotmail.com,41-50 Years,Prefer not to say,Yes – Sports Bike,"Commuter (100–150cc, mileage-focused)",Low maintenance cost,Electric bike/scooter,Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,05-11-2025 14:36,"Electric Bike (eco-friendly, modern)",Resale value,"Below ₹70,000",No – Too costly compared to fuel bikes
Unknown,Myra Walla,qkumar@anne.com,Below 20 years,Male,Yes – Sports Bike,Cruiser (comfortable for long rides),Performance & Speed,"Scooter (lightweight, gearless)",Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,05-09-2025 04:51,Sports Bike (performance-oriented),Resale value,"Below ₹70,000",Yes – Affordable and eco-friendly
Unknown,Zoya Mandal,abram77@gmail.com,51 Years and above,Prefer not to say,Yes – Cruiser,"Electric Bike (eco-friendly, modern)",Mileage / Fuel efficiency,"Commuter bike (100–125cc, high mileage)",Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,14-06-2025 13:01,Cruiser (comfortable for long rides),Stylish design / Looks,"Above ₹1,50,000",No – Lack of charging/service support
Unknown,Rhea Bahri,rajuhrishita@gmail.com,51 Years and above,Female,Yes – Sports Bike,Cruiser (comfortable for long rides),Comfort & Ease of riding,Entry-level Sports (150cc),Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,12-10-2025 08:46,"Scooter (gearless, lightweight)",Stylish design / Looks,"Below ₹70,000",No – Too costly compared to fuel bikes
Unknown,Ishaan Bahl,kiaankoshy@tripathi.com,21-30 Years,Male,Yes – Scooter (gearless),Cruiser (comfortable for long rides),Eco-friendliness (Electric option),"Scooter (lightweight, gearless)",Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,23-10-2025 02:16,"Electric Bike (eco-friendly, modern)",Performance & Speed,"Above ₹1,50,000",Not sure
Unknown,Navya Mann,zsrinivas@dhar.com,Below 20 years,Male,Yes – Commuter (100–150cc),"Electric Bike (eco-friendly, modern)",Eco-friendliness (Electric option),"Commuter bike (100–125cc, high mileage)",Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,29-07-2025 23:55,Sports Bike (performance-oriented),Mileage / Fuel efficiency,"₹1,00,000–₹1,50,000",No – Lack of charging/service support
Unknown,Advik Boase,samar16@yahoo.com,21-30 Years,Female,Yes – Electric Bike,Cruiser (comfortable for long rides),Performance & Speed,Entry-level Sports (150cc),Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,07-08-2025 01:00,"Commuter (100–150cc, mileage-focused)",Comfort & Ease of riding,"Below ₹70,000",No – Lack of charging/service support
Unknown,Jayant Koshy,msingh@yahoo.com,Below 20 years,Male,Yes – Commuter (100–150cc),Sports Bike (performance-oriented),Safety features,Higher power Bikes(200cc and above),Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,13-02-2025 01:37,Cruiser (comfortable for long rides),Safety features,"Above ₹1,50,000",Not sure
Unknown,Vanya Bhatnagar,inaaya-51@sawhney.com,Below 20 years,Male,Yes – Cruiser,"Scooter (gearless, lightweight)",Performance & Speed,"Commuter bike (100–125cc, high mileage)",Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,27-05-2025 18:24,Sports Bike (performance-oriented),Low maintenance cost,"₹70,000–₹1,00,000",Yes – Affordable and eco-friendly
Unknown,Shamik Balakrishnan,madananahita@gmail.com,Below 20 years,Male,Yes – Cruiser,"Commuter (100–150cc, mileage-focused)",Stylish design / Looks,"Commuter bike (100–125cc, high mileage)",Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,01-01-2025 15:45,Cruiser (comfortable for long rides),Mileage / Fuel efficiency,"Below ₹70,000",Yes – Affordable and eco-friendly
Unknown,Samar Bassi,lkrishnan@gmail.com,21-30 Years,Prefer not to say,Yes – Commuter (100–150cc),"Commuter (100–150cc, mileage-focused)",Performance & Speed,Higher power Bikes(200cc and above),Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,13-06-2025 10:32,"Electric Bike (eco-friendly, modern)",Low maintenance cost,"Below ₹70,000",Yes – Affordable and eco-friendly
Unknown,Yuvaan Vaidya,thamanzeeshan@kadakia.com,41-50 Years,Male,Yes – Scooter (gearless),"Scooter (gearless, lightweight)",Stylish design / Looks,Electric bike/scooter,Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,21-07-2025 03:35,"Electric Bike (eco-friendly, modern)",Stylish design / Looks,"₹70,000–₹1,00,000",Not sure
Unknown,Ojas Sha,vaibhav86@gmail.com,51 Years and above,Female,No,Sports Bike (performance-oriented),Low maintenance cost,"Commuter bike (100–125cc, high mileage)",Sports Bike (200–400cc),"Commuter (125–150cc, cost-effective)",Electric Bike,Electric Scooter/Bike,Maintenance cost,"₹70,000–₹1,00,000",Not sure,27-07-2025 15:48,Sports Bike (performance-oriented),Low maintenance cost,"Above ₹1,50,000","Yes – Good for city rides, but not long tours"
